gameid;gametitle;gamerelease;compname;charname
18;Metal Slug X: Super Vehicle - 001;1999-03-18;SNK;Tarma Roving
18;Metal Slug X: Super Vehicle - 001;1999-03-18;SNK;Marco Rossi
18;Metal Slug X: Super Vehicle - 001;1999-03-18;SNK;General Morden
18;Metal Slug X: Super Vehicle - 001;1999-03-18;SNK;Fio Germi
18;Metal Slug X: Super Vehicle - 001;1999-03-18;SNK;Eri Kasamoto
18;Metal Slug X: Super Vehicle - 001;1999-03-18;SNK;Mars People
18;Metal Slug X: Super Vehicle - 001;1999-03-18;SNK;Allen O'Neil
18;Metal Slug X: Super Vehicle - 001;1999-03-18;SNK;Hyakutaro Ichimonji
18;Metal Slug X: Super Vehicle - 001;1999-03-18;SNK;Rumi Aikawa
41;Virtua Fighter 2;1994-11-01;SEGA-AM2;Sarah Bryant
41;Virtua Fighter 2;1994-11-01;SEGA-AM2;Akira Yuki
41;Virtua Fighter 2;1994-11-01;SEGA-AM2;Pai Chan
41;Virtua Fighter 2;1994-11-01;SEGA-AM2;Lau Chan
41;Virtua Fighter 2;1994-11-01;SEGA-AM2;Wolf Hawkfield
41;Virtua Fighter 2;1994-11-01;SEGA-AM2;Jeffry McWild
41;Virtua Fighter 2;1994-11-01;SEGA-AM2;Kage-Maru
41;Virtua Fighter 2;1994-11-01;SEGA-AM2;Jacky Bryant
41;Virtua Fighter 2;1994-11-01;SEGA-AM2;Shun Di
41;Virtua Fighter 2;1994-11-01;SEGA-AM2;Lion Rafale
41;Virtua Fighter 2;1994-11-01;SEGA-AM2;Dural
41;Virtua Fighter 2;1994-11-01;Gaibrain;Sarah Bryant
41;Virtua Fighter 2;1994-11-01;Gaibrain;Akira Yuki
41;Virtua Fighter 2;1994-11-01;Gaibrain;Pai Chan
41;Virtua Fighter 2;1994-11-01;Gaibrain;Lau Chan
41;Virtua Fighter 2;1994-11-01;Gaibrain;Wolf Hawkfield
41;Virtua Fighter 2;1994-11-01;Gaibrain;Jeffry McWild
41;Virtua Fighter 2;1994-11-01;Gaibrain;Kage-Maru
41;Virtua Fighter 2;1994-11-01;Gaibrain;Jacky Bryant
41;Virtua Fighter 2;1994-11-01;Gaibrain;Shun Di
41;Virtua Fighter 2;1994-11-01;Gaibrain;Lion Rafale
41;Virtua Fighter 2;1994-11-01;Gaibrain;Dural
52;Baldur's Gate;1998-12-21;BioWare;Drizzt Do'Urden
52;Baldur's Gate;1998-12-21;BioWare;Minsc
52;Baldur's Gate;1998-12-21;BioWare;Dynaheir
52;Baldur's Gate;1998-12-21;BioWare;Coran
52;Baldur's Gate;1998-12-21;BioWare;Quayle
52;Baldur's Gate;1998-12-21;BioWare;Garrick
52;Baldur's Gate;1998-12-21;BioWare;Dorn Il-Khan
52;Baldur's Gate;1998-12-21;BioWare;Noober
52;Baldur's Gate;1998-12-21;BioWare;Neera
52;Baldur's Gate;1998-12-21;BioWare;Rasaad yn Bashir
52;Baldur's Gate;1998-12-21;Beamdog;Drizzt Do'Urden
52;Baldur's Gate;1998-12-21;Beamdog;Minsc
52;Baldur's Gate;1998-12-21;Beamdog;Dynaheir
52;Baldur's Gate;1998-12-21;Beamdog;Coran
52;Baldur's Gate;1998-12-21;Beamdog;Quayle
52;Baldur's Gate;1998-12-21;Beamdog;Garrick
52;Baldur's Gate;1998-12-21;Beamdog;Dorn Il-Khan
52;Baldur's Gate;1998-12-21;Beamdog;Noober
52;Baldur's Gate;1998-12-21;Beamdog;Neera
52;Baldur's Gate;1998-12-21;Beamdog;Rasaad yn Bashir
222;Fire Emblem: Path of Radiance;2005-10-17;Intelligent Systems Co., Ltd.;Nephenee
222;Fire Emblem: Path of Radiance;2005-10-17;Intelligent Systems Co., Ltd.;Ike
222;Fire Emblem: Path of Radiance;2005-10-17;Intelligent Systems Co., Ltd.;Elincia
222;Fire Emblem: Path of Radiance;2005-10-17;Intelligent Systems Co., Ltd.;Sothe
222;Fire Emblem: Path of Radiance;2005-10-17;Intelligent Systems Co., Ltd.;Soren
222;Fire Emblem: Path of Radiance;2005-10-17;Intelligent Systems Co., Ltd.;Boyd
222;Fire Emblem: Path of Radiance;2005-10-17;Intelligent Systems Co., Ltd.;Gatrie
222;Fire Emblem: Path of Radiance;2005-10-17;Intelligent Systems Co., Ltd.;Mist
222;Fire Emblem: Path of Radiance;2005-10-17;Intelligent Systems Co., Ltd.;Oscar
222;Fire Emblem: Path of Radiance;2005-10-17;Intelligent Systems Co., Ltd.;Rhys
222;Fire Emblem: Path of Radiance;2005-10-17;Intelligent Systems Co., Ltd.;Rolf
222;Fire Emblem: Path of Radiance;2005-10-17;Intelligent Systems Co., Ltd.;Shinon
222;Fire Emblem: Path of Radiance;2005-10-17;Intelligent Systems Co., Ltd.;Titania
222;Fire Emblem: Path of Radiance;2005-10-17;Intelligent Systems Co., Ltd.;Bastian
222;Fire Emblem: Path of Radiance;2005-10-17;Intelligent Systems Co., Ltd.;Brom
222;Fire Emblem: Path of Radiance;2005-10-17;Intelligent Systems Co., Ltd.;Calill
222;Fire Emblem: Path of Radiance;2005-10-17;Intelligent Systems Co., Ltd.;Geoffrey
222;Fire Emblem: Path of Radiance;2005-10-17;Intelligent Systems Co., Ltd.;Kieran
222;Fire Emblem: Path of Radiance;2005-10-17;Intelligent Systems Co., Ltd.;Largo
222;Fire Emblem: Path of Radiance;2005-10-17;Intelligent Systems Co., Ltd.;Lucia
222;Fire Emblem: Path of Radiance;2005-10-17;Intelligent Systems Co., Ltd.;Mia
222;Fire Emblem: Path of Radiance;2005-10-17;Intelligent Systems Co., Ltd.;Volke
222;Fire Emblem: Path of Radiance;2005-10-17;Intelligent Systems Co., Ltd.;Astrid
222;Fire Emblem: Path of Radiance;2005-10-17;Intelligent Systems Co., Ltd.;Makalov
222;Fire Emblem: Path of Radiance;2005-10-17;Intelligent Systems Co., Ltd.;Marcia
222;Fire Emblem: Path of Radiance;2005-10-17;Intelligent Systems Co., Ltd.;Stefan
222;Fire Emblem: Path of Radiance;2005-10-17;Intelligent Systems Co., Ltd.;Tanith
222;Fire Emblem: Path of Radiance;2005-10-17;Intelligent Systems Co., Ltd.;Tormod
222;Fire Emblem: Path of Radiance;2005-10-17;Intelligent Systems Co., Ltd.;Haar
222;Fire Emblem: Path of Radiance;2005-10-17;Intelligent Systems Co., Ltd.;Ilyana
222;Fire Emblem: Path of Radiance;2005-10-17;Intelligent Systems Co., Ltd.;Jill
222;Fire Emblem: Path of Radiance;2005-10-17;Intelligent Systems Co., Ltd.;Tauroneo
222;Fire Emblem: Path of Radiance;2005-10-17;Intelligent Systems Co., Ltd.;Zihark
222;Fire Emblem: Path of Radiance;2005-10-17;Intelligent Systems Co., Ltd.;Giffca
222;Fire Emblem: Path of Radiance;2005-10-17;Intelligent Systems Co., Ltd.;Lethe
222;Fire Emblem: Path of Radiance;2005-10-17;Intelligent Systems Co., Ltd.;Mordecai
222;Fire Emblem: Path of Radiance;2005-10-17;Intelligent Systems Co., Ltd.;Muarim
222;Fire Emblem: Path of Radiance;2005-10-17;Intelligent Systems Co., Ltd.;Ranulf
222;Fire Emblem: Path of Radiance;2005-10-17;Intelligent Systems Co., Ltd.;Janaff
222;Fire Emblem: Path of Radiance;2005-10-17;Intelligent Systems Co., Ltd.;Ulki
222;Fire Emblem: Path of Radiance;2005-10-17;Intelligent Systems Co., Ltd.;Naesala
222;Fire Emblem: Path of Radiance;2005-10-17;Intelligent Systems Co., Ltd.;Reyson
222;Fire Emblem: Path of Radiance;2005-10-17;Intelligent Systems Co., Ltd.;Ena
222;Fire Emblem: Path of Radiance;2005-10-17;Intelligent Systems Co., Ltd.;Nasir
222;Fire Emblem: Path of Radiance;2005-10-17;Intelligent Systems Co., Ltd.;Greil
222;Fire Emblem: Path of Radiance;2005-10-17;Intelligent Systems Co., Ltd.;Elena
222;Fire Emblem: Path of Radiance;2005-10-17;Intelligent Systems Co., Ltd.;Ashnard
222;Fire Emblem: Path of Radiance;2005-10-17;Intelligent Systems Co., Ltd.;The Black Knight
222;Fire Emblem: Path of Radiance;2005-10-17;Intelligent Systems Co., Ltd.;Petrine
222;Fire Emblem: Path of Radiance;2005-10-17;Intelligent Systems Co., Ltd.;Renning
222;Fire Emblem: Path of Radiance;2005-10-17;Intelligent Systems Co., Ltd.;Caineghis
222;Fire Emblem: Path of Radiance;2005-10-17;Intelligent Systems Co., Ltd.;Kurthnaga
222;Fire Emblem: Path of Radiance;2005-10-17;Intelligent Systems Co., Ltd.;Leanne
222;Fire Emblem: Path of Radiance;2005-10-17;Intelligent Systems Co., Ltd.;Rajaion
222;Fire Emblem: Path of Radiance;2005-10-17;Intelligent Systems Co., Ltd.;Oliver
222;Fire Emblem: Path of Radiance;2005-10-17;Intelligent Systems Co., Ltd.;Sanaki
222;Fire Emblem: Path of Radiance;2005-10-17;Intelligent Systems Co., Ltd.;Sephiran
222;Fire Emblem: Path of Radiance;2005-10-17;Intelligent Systems Co., Ltd.;Sigrun
222;Fire Emblem: Path of Radiance;2005-10-17;Intelligent Systems Co., Ltd.;Devdan
222;Fire Emblem: Path of Radiance;2005-10-17;Intelligent Systems Co., Ltd.;Gareth
222;Fire Emblem: Path of Radiance;2005-10-17;Intelligent Systems Co., Ltd.;Izuka
222;Fire Emblem: Path of Radiance;2005-10-17;Intelligent Systems Co., Ltd.;Lekain
222;Fire Emblem: Path of Radiance;2005-10-17;Intelligent Systems Co., Ltd.;Hetzel
222;Fire Emblem: Path of Radiance;2005-10-17;Intelligent Systems Co., Ltd.;Tibarn
222;Fire Emblem: Path of Radiance;2005-10-17;Intelligent Systems Co., Ltd.;Dheginsea
222;Fire Emblem: Path of Radiance;2005-10-17;Intelligent Systems Co., Ltd.;Anna
222;Fire Emblem: Path of Radiance;2005-10-17;Intelligent Systems Co., Ltd.;Aimee
222;Fire Emblem: Path of Radiance;2005-10-17;Nintendo SPD Group No.2;Nephenee
222;Fire Emblem: Path of Radiance;2005-10-17;Nintendo SPD Group No.2;Ike
222;Fire Emblem: Path of Radiance;2005-10-17;Nintendo SPD Group No.2;Elincia
222;Fire Emblem: Path of Radiance;2005-10-17;Nintendo SPD Group No.2;Sothe
222;Fire Emblem: Path of Radiance;2005-10-17;Nintendo SPD Group No.2;Soren
222;Fire Emblem: Path of Radiance;2005-10-17;Nintendo SPD Group No.2;Boyd
222;Fire Emblem: Path of Radiance;2005-10-17;Nintendo SPD Group No.2;Gatrie
222;Fire Emblem: Path of Radiance;2005-10-17;Nintendo SPD Group No.2;Mist
222;Fire Emblem: Path of Radiance;2005-10-17;Nintendo SPD Group No.2;Oscar
222;Fire Emblem: Path of Radiance;2005-10-17;Nintendo SPD Group No.2;Rhys
222;Fire Emblem: Path of Radiance;2005-10-17;Nintendo SPD Group No.2;Rolf
222;Fire Emblem: Path of Radiance;2005-10-17;Nintendo SPD Group No.2;Shinon
222;Fire Emblem: Path of Radiance;2005-10-17;Nintendo SPD Group No.2;Titania
222;Fire Emblem: Path of Radiance;2005-10-17;Nintendo SPD Group No.2;Bastian
222;Fire Emblem: Path of Radiance;2005-10-17;Nintendo SPD Group No.2;Brom
222;Fire Emblem: Path of Radiance;2005-10-17;Nintendo SPD Group No.2;Calill
222;Fire Emblem: Path of Radiance;2005-10-17;Nintendo SPD Group No.2;Geoffrey
222;Fire Emblem: Path of Radiance;2005-10-17;Nintendo SPD Group No.2;Kieran
222;Fire Emblem: Path of Radiance;2005-10-17;Nintendo SPD Group No.2;Largo
222;Fire Emblem: Path of Radiance;2005-10-17;Nintendo SPD Group No.2;Lucia
222;Fire Emblem: Path of Radiance;2005-10-17;Nintendo SPD Group No.2;Mia
222;Fire Emblem: Path of Radiance;2005-10-17;Nintendo SPD Group No.2;Volke
222;Fire Emblem: Path of Radiance;2005-10-17;Nintendo SPD Group No.2;Astrid
222;Fire Emblem: Path of Radiance;2005-10-17;Nintendo SPD Group No.2;Makalov
222;Fire Emblem: Path of Radiance;2005-10-17;Nintendo SPD Group No.2;Marcia
222;Fire Emblem: Path of Radiance;2005-10-17;Nintendo SPD Group No.2;Stefan
222;Fire Emblem: Path of Radiance;2005-10-17;Nintendo SPD Group No.2;Tanith
222;Fire Emblem: Path of Radiance;2005-10-17;Nintendo SPD Group No.2;Tormod
222;Fire Emblem: Path of Radiance;2005-10-17;Nintendo SPD Group No.2;Haar
222;Fire Emblem: Path of Radiance;2005-10-17;Nintendo SPD Group No.2;Ilyana
222;Fire Emblem: Path of Radiance;2005-10-17;Nintendo SPD Group No.2;Jill
222;Fire Emblem: Path of Radiance;2005-10-17;Nintendo SPD Group No.2;Tauroneo
222;Fire Emblem: Path of Radiance;2005-10-17;Nintendo SPD Group No.2;Zihark
222;Fire Emblem: Path of Radiance;2005-10-17;Nintendo SPD Group No.2;Giffca
222;Fire Emblem: Path of Radiance;2005-10-17;Nintendo SPD Group No.2;Lethe
222;Fire Emblem: Path of Radiance;2005-10-17;Nintendo SPD Group No.2;Mordecai
222;Fire Emblem: Path of Radiance;2005-10-17;Nintendo SPD Group No.2;Muarim
222;Fire Emblem: Path of Radiance;2005-10-17;Nintendo SPD Group No.2;Ranulf
222;Fire Emblem: Path of Radiance;2005-10-17;Nintendo SPD Group No.2;Janaff
222;Fire Emblem: Path of Radiance;2005-10-17;Nintendo SPD Group No.2;Ulki
222;Fire Emblem: Path of Radiance;2005-10-17;Nintendo SPD Group No.2;Naesala
222;Fire Emblem: Path of Radiance;2005-10-17;Nintendo SPD Group No.2;Reyson
222;Fire Emblem: Path of Radiance;2005-10-17;Nintendo SPD Group No.2;Ena
222;Fire Emblem: Path of Radiance;2005-10-17;Nintendo SPD Group No.2;Nasir
222;Fire Emblem: Path of Radiance;2005-10-17;Nintendo SPD Group No.2;Greil
222;Fire Emblem: Path of Radiance;2005-10-17;Nintendo SPD Group No.2;Elena
222;Fire Emblem: Path of Radiance;2005-10-17;Nintendo SPD Group No.2;Ashnard
222;Fire Emblem: Path of Radiance;2005-10-17;Nintendo SPD Group No.2;The Black Knight
222;Fire Emblem: Path of Radiance;2005-10-17;Nintendo SPD Group No.2;Petrine
222;Fire Emblem: Path of Radiance;2005-10-17;Nintendo SPD Group No.2;Renning
222;Fire Emblem: Path of Radiance;2005-10-17;Nintendo SPD Group No.2;Caineghis
222;Fire Emblem: Path of Radiance;2005-10-17;Nintendo SPD Group No.2;Kurthnaga
222;Fire Emblem: Path of Radiance;2005-10-17;Nintendo SPD Group No.2;Leanne
222;Fire Emblem: Path of Radiance;2005-10-17;Nintendo SPD Group No.2;Rajaion
222;Fire Emblem: Path of Radiance;2005-10-17;Nintendo SPD Group No.2;Oliver
222;Fire Emblem: Path of Radiance;2005-10-17;Nintendo SPD Group No.2;Sanaki
222;Fire Emblem: Path of Radiance;2005-10-17;Nintendo SPD Group No.2;Sephiran
222;Fire Emblem: Path of Radiance;2005-10-17;Nintendo SPD Group No.2;Sigrun
222;Fire Emblem: Path of Radiance;2005-10-17;Nintendo SPD Group No.2;Devdan
222;Fire Emblem: Path of Radiance;2005-10-17;Nintendo SPD Group No.2;Gareth
222;Fire Emblem: Path of Radiance;2005-10-17;Nintendo SPD Group No.2;Izuka
222;Fire Emblem: Path of Radiance;2005-10-17;Nintendo SPD Group No.2;Lekain
222;Fire Emblem: Path of Radiance;2005-10-17;Nintendo SPD Group No.2;Hetzel
222;Fire Emblem: Path of Radiance;2005-10-17;Nintendo SPD Group No.2;Tibarn
222;Fire Emblem: Path of Radiance;2005-10-17;Nintendo SPD Group No.2;Dheginsea
222;Fire Emblem: Path of Radiance;2005-10-17;Nintendo SPD Group No.2;Anna
222;Fire Emblem: Path of Radiance;2005-10-17;Nintendo SPD Group No.2;Aimee
223;Yu-Gi-Oh! Forbidden Memories;1999-12-09;Konami Computer Entertainment Japan, Inc.;Yugi Muto
223;Yu-Gi-Oh! Forbidden Memories;1999-12-09;Konami Computer Entertainment Japan, Inc.;Seto Kaiba
223;Yu-Gi-Oh! Forbidden Memories;1999-12-09;Konami Computer Entertainment Japan, Inc.;Joey Wheeler
223;Yu-Gi-Oh! Forbidden Memories;1999-12-09;Konami Computer Entertainment Japan, Inc.;Bakura
223;Yu-Gi-Oh! Forbidden Memories;1999-12-09;Konami Computer Entertainment Japan, Inc.;Mai Valentine
223;Yu-Gi-Oh! Forbidden Memories;1999-12-09;Konami Computer Entertainment Japan, Inc.;Mako Tsunami
223;Yu-Gi-Oh! Forbidden Memories;1999-12-09;Konami Computer Entertainment Japan, Inc.;Tristan Taylor
223;Yu-Gi-Oh! Forbidden Memories;1999-12-09;Konami Computer Entertainment Japan, Inc.;Weevil Underwood
223;Yu-Gi-Oh! Forbidden Memories;1999-12-09;Konami Computer Entertainment Japan, Inc.;Rex Raptor
