"idimdb","title","release","runtime","budget","revenue","poster","rating"
"tt0029583","Snow White and the Seven Dwarfs","1937-12-21","83","1488423","184925486","https://image.tmdb.org/t/p/original/1P9eGGlT7eV7kAAvvSh9jfygr1C.jpg","7.6"
"tt0032910","Pinocchio","1940-02-23","88","2600000","84300000","https://image.tmdb.org/t/p/original/ynkEEi296ofs9kCfRWcaWxOWN1n.jpg","7.4"
"tt0033563","Dumbo","1941-10-31","64","812000","1600000","https://image.tmdb.org/t/p/original/hKDdllslMtsU9JixAv5HR9biXlp.jpg","7.2"
"tt0034492","Bambi","1942-08-14","70","858000","267447150","https://image.tmdb.org/t/p/original/wV9e2y4myJ4KMFsyFfWYcUOawyK.jpg","7.3"
"tt0042332","Cinderella","1950-02-22","74","2900000","263591415","https://image.tmdb.org/t/p/original/4nssBcQUBadCTBjrAkX46mVEKts.jpg","7.3"
"tt0046183","Peter Pan","1953-02-05","77","4000000","87404651","https://image.tmdb.org/t/p/original/fJJOs1iyrhKfZceANxoPxPwNGF1.jpg","7.3"
"tt0048280","Lady and the Tramp","1955-06-22","76","4000000","36359037","https://image.tmdb.org/t/p/original/wXKeGea4htM7Yz3yo7hYXbs3FhV.jpg","7.3"
"tt0053285","Sleeping Beauty","1959-02-17","75","6000000","51600000","https://image.tmdb.org/t/p/original/j2mTyUukcLwDIeQohyZUVKfqdlB.jpg","7.2"
"tt0055254","One Hundred and One Dalmatians","1961-01-25","79","4000000","85000000","https://image.tmdb.org/t/p/original/9klDisS1sVb5LljRhpYJ0TUbPzt.jpg","7.3"
"tt0057546","The Sword in the Stone","1963-12-25","79","3000000","22182353","https://image.tmdb.org/t/p/original/7lyeeuhGAJSNXYEW34S8mJ1bwI8.jpg","7.2"
"tt0058331","Mary Poppins","1964-08-27","139","6000000","103082380","https://image.tmdb.org/t/p/original/yO8UyO86uNBq12wroZLg2GpYQp3.jpg","7.8"
