id,nom_produit,quantite_vendue,prix_unitaire,chiffre_affaires,date_vente,Mois
1,Produit_A,3,138.83,416.49,2023-11-23 11:28:21.146621,2023-11
2,Produit_E,10,153.07,1530.7,2024-07-11 11:28:21.146655,2024-07
3,Produit_C,32,190.7,6102.4,2024-03-17 11:28:21.146668,2024-03
4,Produit_A,50,96.57,4828.5,2023-11-18 11:28:21.146679,2023-11
5,Produit_E,60,101.0,6060.0,2024-01-14 11:28:21.146691,2024-01
6,Produit_C,56,143.52,8037.12,2024-08-17 11:28:21.146701,2024-08
7,Produit_C,31,83.49,2588.19,2024-10-07 11:28:21.146710,2024-10
8,Produit_D,13,29.98,389.74,2024-04-24 11:28:21.146719,2024-04
9,Produit_D,63,87.16,5491.08,2024-04-24 11:28:21.146728,2024-04
10,Produit_B,33,151.82,5010.06,2024-04-01 11:28:21.146736,2024-04
11,Produit_C,52,60.27,3134.04,2024-07-18 11:28:21.146745,2024-07
12,Produit_C,99,58.03,5744.97,2024-03-04 11:28:21.146753,2024-03
13,Produit_C,97,167.15,16213.55,2024-10-12 11:28:21.146762,2024-10
14,Produit_B,38,72.17,2742.46,2024-08-20 11:28:21.146770,2024-08
15,Produit_A,96,154.25,14808.0,2024-01-11 11:28:21.146779,2024-01
16,Produit_A,5,52.34,261.7,2023-10-20 11:28:21.146787,2023-10
17,Produit_E,52,88.28,4590.56,2024-05-25 11:28:21.146796,2024-05
18,Produit_A,42,140.61,5905.62,2024-07-11 11:28:21.146805,2024-07
19,Produit_C,52,105.7,5496.4,2024-08-02 11:28:21.146813,2024-08
20,Produit_A,75,131.55,9866.25,2024-10-06 11:28:21.146821,2024-10
21,Produit_A,71,107.49,7631.79,2024-07-11 11:28:21.146829,2024-07
22,Produit_C,59,21.43,1264.37,2023-11-01 11:28:21.146837,2023-11
23,Produit_C,53,16.43,870.79,2023-11-27 11:28:21.146845,2023-11
24,Produit_E,47,22.45,1055.15,2024-07-17 11:28:21.146854,2024-07
25,Produit_D,63,114.34,7203.42,2023-12-25 11:28:21.146862,2023-12
26,Produit_E,34,97.13,3302.42,2023-10-28 11:28:21.146871,2023-10
27,Produit_C,93,131.07,12189.51,2024-09-02 11:28:21.146879,2024-09
28,Produit_B,30,29.29,878.7,2024-03-31 11:28:21.146888,2024-03
29,Produit_B,13,171.84,2233.92,2024-06-15 11:28:21.146896,2024-06
30,Produit_B,68,97.07,6600.76,2024-05-15 11:28:21.146904,2024-05
31,Produit_D,91,53.03,4825.73,2024-07-17 11:28:21.146912,2024-07
32,Produit_D,71,108.09,7674.39,2023-12-28 11:28:21.146920,2023-12
33,Produit_D,85,157.88,13419.8,2024-06-28 11:28:21.146928,2024-06
34,Produit_C,72,75.52,5437.44,2024-07-17 11:28:21.146937,2024-07
35,Produit_B,42,70.58,2964.36,2024-03-17 11:28:21.146945,2024-03
36,Produit_E,97,75.61,7334.17,2024-09-07 11:28:21.146952,2024-09
37,Produit_C,12,159.83,1917.96,2024-01-19 11:28:21.146966,2024-01
38,Produit_A,18,143.33,2579.94,2024-08-27 11:28:21.146975,2024-08
39,Produit_C,24,122.89,2949.36,2024-04-29 11:28:21.146984,2024-04
40,Produit_A,75,88.83,6662.25,2023-11-06 11:28:21.146992,2023-11
41,Produit_E,49,106.45,5216.05,2023-11-27 11:28:21.147000,2023-11
42,Produit_B,42,55.44,2328.48,2024-05-24 11:28:21.147008,2024-05
43,Produit_A,7,28.03,196.21,2024-03-17 11:28:21.147016,2024-03
44,Produit_C,64,68.05,4355.2,2023-12-25 11:28:21.147024,2023-12
45,Produit_C,23,99.4,2286.2,2024-07-04 11:28:21.147033,2024-07
46,Produit_B,100,193.71,19371.0,2024-09-01 11:28:21.147041,2024-09
47,Produit_E,65,18.83,1223.95,2023-12-28 11:28:21.147049,2023-12
48,Produit_B,99,170.27,16856.73,2024-04-08 11:28:21.147057,2024-04
49,Produit_B,1,99.73,99.73,2024-09-09 11:28:21.147065,2024-09
50,Produit_C,28,155.66,4358.48,2024-09-25 11:28:21.147073,2024-09
51,Produit_D,23,107.98,2483.54,2023-11-13 11:28:21.147081,2023-11
52,Produit_C,75,79.32,5949.0,2024-09-21 11:28:21.147089,2024-09
53,Produit_D,3,147.54,442.62,2024-08-13 11:28:21.147096,2024-08
54,Produit_A,71,75.23,5341.33,2024-08-02 11:28:21.147105,2024-08
55,Produit_D,90,118.41,10656.9,2024-10-06 11:28:21.147113,2024-10
56,Produit_E,38,117.44,4462.72,2024-03-02 11:28:21.147121,2024-03
57,Produit_B,39,159.01,6201.39,2023-12-10 11:28:21.147130,2023-12
58,Produit_B,57,115.38,6576.66,2023-12-27 11:28:21.147141,2023-12
59,Produit_E,49,57.18,2801.82,2023-11-21 11:28:21.147149,2023-11
60,Produit_B,17,151.09,2568.53,2024-02-14 11:28:21.147157,2024-02
61,Produit_B,93,148.28,13790.04,2024-03-01 11:28:21.147166,2024-03
62,Produit_A,65,72.73,4727.45,2024-08-15 11:28:21.147175,2024-08
